Constituency/Ward,2013,2017,2022,page,Homa Bay Arujo,11,12,Offence,col_2,col_3,col_4,col_5,col_6,2023,col_8,col_9,col_10,col_11,col_12,Probation,col_7,col_13,col_14,col_15,Community Service,Aftercare,Number,col_1,col_0,col_16,col_17,col_18,Type of Offence,Theft by servant,0,2021
,,,,270,,,,,71,85,99,70,,,,,,,,,,,,,,,Seriously Injured Total,78,,,,,,,,
,,,,270,,,,,71,160,46,101,,,,,,,,,,,,,,,Slightly Injured Vehicles Primarily Responsible,41,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,,,,11,12,15,17,,,,,,,,,,,,,,,Motor Cars,5,,,,,,,,
,,,,270,,,,,8,7,10,5,,,,,,,,,,,,,,,"Lorries,Buses and Taxis",6,,,,,,,,
,,,,270,,,,,9,25,28,22,,,,,,,,,,,,,,,Motor Cycles,20,,,,,,,,
,,,,270,,,,,22,1,2,3,,,,,,,,,,,,,,,Pedal Cycles,1,,,,,,,,
,,,,270,,,,,2,1,4,6,,,,,,,,,,,,,,,Animals with Hand Carts,21,,,,,,,,
,,,,270,,,,,8,4,9,11,,,,,,,,,,,,,,,Matatus Persons Primarily Responsible,8,,,,,,,,
,,,,270,,,,,11,3,8,13,,,,,,,,,,,,,,,Others,10,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,,,,6,5,11,8,,,,,,,,,,,,,,,Driver (Incl motor cyclists),7,,,,,,,,
,,,,270,,,,,5,7,1,4,,,,,,,,,,,,,,,Pedestrians,0,,,,,,,,
,,,,270,,,,,0,0,0,0,,,,,,,,,,,,,,,Pedal Cyclists,0,,,,,,,,
,,,,270,,,,,0,0,0,0,,,,,,,,,,,,,,,Passengers Times of Accidents Occurance,0,,,,,,,,
,,,,270,,,,,233,139,106,33,,,,,,,,,,,,,,,Other Causes,12,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,,,,135 136,104 200,107 100,1000 139,,,,,,,,,,,,,,,"Day 100 NSoiugrhcte: Kenya Police Service, Homa Bay County 115",,,,,,,,,
,,,,271,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of Crime,,,,,,,
,,,,271,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,
,,,,271,,,,,9,8,12,14,32,,20,,,,,,4,,,,,,230,8,Homicide,,,,,,,
,,,,271,,,,,31,14,14,19,43,,43,,,,,,24,,,,,,375,42,Offences against morality,,,,,,,
,,,,271,,,,,67,44,33,100,24,,2,,,,,,35,,,,,,57,70,Other offences against persons,,,,,,,
,,,,271,,,,,8,6,12,5,7,,8,,,,,,4,,,,,,124,7,Robbery,,,,,,,
,,,,271,,,,,25,15,14,28,11,,15,,,,,,3,,,,,,75,13,Breakings,,,,,,,
,,,,271,,,,,8,17,16,8,3,,9,,,,,,3,,,,,,214,11,Theft of stock,,,,,,,
,,,,271,,,,,26,30,20,41,8,,2,,,,,,18,,,,,,51,69,Stealing,,,,,,,
,,,,271,,,,,6,8,6,2,2,,15,,,,,,9,,,,,,22,3,Theft by servant,,,,,,,
,,,,271,,,,,0,0,0,4,0,,15,,,,,,0,,,,,,82,3,Vehicle and other thefts,,,,,,,
,,,,271,,,,,22,12,14,10,2,,0,,,,,,11,,,,,,15,11,Dangerous drugs,,,,,,,
,,,,271,,,,,0,8,7,0,0,,0,,,,,,0,,,,,,63,0,Traffic offences,,,,,,,
,,,,271,,,,,6,4,4,24,8,,7,,,,,,0,,,,,,39,10,Criminal damage,,,,,,,
,,,,271,,,,,2,6,8,8,1,,4,,,,,,-4,,,,,,4,14,Economic crimes,,,,,,,
,,,,271,,,,,0,0,0,0,0,,0,,,,,,4,,,,,,152,0,Offences involving police officers,,,,,,,
,,,,271,,,,,22,18,14,48,7,,12,,,,,,8,,,,,,0,23,Other penal code offences,,,,,,,
,,,,271,,,,,232 0,190 0,174 0,311 0,148 0,,152 0,,,,,,119 0,,,,,,"1,610",284 0,Total Piracy,,,,,,,
,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,Source: Kenya Police Service,,,,,,,
,,,,271,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of crime,,,,,,,
,,,,271,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,
,,,,271,,,,,15,20,8,16,6,,11,,,,,,14,,,,,,226,8,Homicide,,,,,,,
,,,,271,,,,,18,43,14,13,14,,59,,,,,,23,,,,,,221,42,Offences against morality,,,,,,,
,,,,271,,,,,44,2,44,9,16,,2,,,,,,34,,,,,,93,70,Other offences against persons,,,,,,,
,,,,272,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of crime,,,,,,,
,,,,272,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,
,,,,272,,,,,6,15,15,10,12,,6,,,,,,10,,,,,,138,11,Breakings,,,,,,,
,,,,272,,,,,3,9,17,2,4,,29,,,,,,5,,,,,,98,69,Theft of stock,,,,,,,
,,,,272,,,,,12,2,30,22,18,,1,,,,,,10,,,,,,75,3,Stealing,,,,,,,
,,,,272,,,,,5,15,8,27,8,,4,,,,,,5,,,,,,49,3,Theft by servant,,,,,,,
,,,,272,,,,,5,15,0,5,4,,8,,,,,,1,,,,,,31,11,Vehicle and other thefts,,,,,,,
,,,,272,,,,,0,0,12,5,6,,0,,,,,,8,,,,,,56,0,Dangerous drugs,,,,,,,
,,,,272,,,,,0,0,8,12,8,,12,,,,,,6,,,,,,112,10,Traffic offences,,,,,,,
,,,,272,,,,,15,7,4,32,17,,9,,,,,,14,,,,,,22,14,Criminal damage,,,,,,,
,,,,272,,,,,1,4,6,1,2,,0,,,,,,2,,,,,,12,6,Economic crimes,,,,,,,
,,,,272,,,,,0,0,0,0,0,,12,,,,,,0,,,,,,114,0,Offences involving police officers,,,,,,,
,,,,272,,,,,7,12,18,16,14,,24,,,,,,0,,,,,,0,23,Other penal code offences,,,,,,,
,,,,272,,,,,140 0,152 0,190 0,208 0,133 0,,195 0,,,,,,135 0,,,,,,"1,430",277 0,Total Piracy,,,,,,,
,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,Source: Kenya Police Service,,,,,,,
,,,,272,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of crime,,,,,,,
,,,,272,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,
,,,,272,,,,,4,9,8,16,9,,10,,,,,,3,,,,,,207,5,Homicide,,,,,,,
,,,,272,,,,,24,14,14,32,14,,47,,,,,,24,,,,,,269,38,Offences against morality,,,,,,,
,,,,272,,,,,35,23,44,26,23,,3,,,,,,35,,,,,,66,80,Other offences against persons,,,,,,,
,,,,272,,,,,4,14,6,5,14,,8,,,,,,1,,,,,,72,14,Robbery,,,,,,,
,,,,272,,,,,14,6,15,8,6,,7,,,,,,5,,,,,,147,11,Breakings,,,,,,,
,,,,272,,,,,3,3,17,14,3,,18,,,,,,6,,,,,,82,83,Theft of stock,,,,,,,
,,,,272,,,,,18,8,30,3,8,,3,,,,,,8,,,,,,52,4,Stealing,,,,,,,
,,,,272,,,,,9,9,8,8,9,,0,,,,,,2,,,,,,82,7,Theft by servant,,,,,,,
,,,,273,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of crime,,,,,,,
,,,,273,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,
,,,,273,,,,,11,16,12,5,16,,0,,,,,,7,,,,,,44,27,Dangerous drugs,,,,,,,
,,,,273,,,,,0,0,8,0,0,,9,,,,,,0,,,,,,47,27,Traffic offences,,,,,,,
,,,,273,,,,,6,8,4,6,8,,3,,,,,,12,,,,,,30,0,Criminal damage,,,,,,,
,,,,273,,,,,8,4,6,3,4,,0,,,,,,5,,,,,,45,0,Economic crimes,,,,,,,
,,,,273,,,,,12,0,0,0,0,,0,,,,,,0,,,,,,60,33,Offences involving police officers,,,,,,,
,,,,273,,,,,0,10,18,8,10,,9,,,,,,5,,,,,,0,0,Other penal code offences,,,,,,,
,,,,273,,,,,148 0,138 0,190 0,144 0,138 0,,127 0,,,,,,114 0,,,,,,"1,361",362 0,Total Piracy,,,,,,,
,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,273,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of Crime,,,,,,,
,,,,273,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,
,,,,273,,,,,15,10,9,p,9,,9,,,,,,8,,,,,,200,8,Homicide,,,,,,,
,,,,273,,,,,16,47,14,23,24,,14,,,,,,20,,,,,,277,42,Offences against morality,,,,,,,
,,,,273,,,,,30,3,23,70,27,,23,,,,,,31,,,,,,61,70,Other offences against persons,,,,,,,
,,,,273,,,,,8,8,14,4,4,,14,,,,,,2,,,,,,76,7,Robbery,,,,,,,
,,,,273,,,,,8,7,6,13,14,,6,,,,,,9,,,,,,94,13,Breakings,,,,,,,
,,,,273,,,,,6,18,3,43,2,,3,,,,,,8,,,,,,133,11,Theft of stock,,,,,,,
,,,,273,,,,,24,3,8,2,6,,8,,,,,,13,,,,,,38,69,Stealing,,,,,,,
,,,,273,,,,,11,0,9,4,1,,9,,,,,,1,,,,,,66,3,Theft by servant,,,,,,,
,,,,273,,,,,10,10,14,10,4,,14,,,,,,1,,,,,,69,3,Vehicle and other thefts,,,,,,,
,,,,273,,,,,24,0,16,0,0,,16,,,,,,2,,,,,,58,11,Dangerous drugs,,,,,,,
,,,,273,,,,,2,9,0,24,22,,0,,,,,,,,,,,,64,1,Traffic offences,,,,,,,
,,,,273,,,,,14,3,8,8,3,,8,,,,,,10,,,,,,28,10,Criminal damage,,,,,,,
,,,,274,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of Crime,,,,,,,
,,,,274,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,274,,,,,0,0,0,0,0,,0,,,,,,0,,,,,,138,0,Offences involving police officers,,,,,,,
,,,,274,,,,,24,9,10,49,9,,10,,,,,,4,,,,,,0,23,Other penal code offences,,,,,,,
,,,,274,,,,,198 0,127 0,138 0,250 0,125 0,,138 0,,,,,,109 0,,,,,,"1,370",285 0,Total Piracy,,,,,,,
,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,Source: Kenya Police Service,,,,,,,
,,,,274,,,,,Ndhiwa,Rachuonyo South,Rachuonyo East,Rachuonyo North,Rangwe,,Suba North,,,,,,Suba South,,,,,,Total,Homa Bay,Type of Crime,,,,,,,
,,,,274,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,
,,,,274,,,,,5,12,9,14,10,,5,,,,,,25,,,,,,141,6,Homicide,,,,,,,
,,,,274,,,,,9,6,14,19,26,,24,,,,,,9,,,,,,358,34,Offences against morality,,,,,,,
,,,,274,,,,,19,20,23,100,42,,35,,,,,,31,,,,,,64,88,Other offences against persons,,,,,,,
,,,,274,,,,,16,10,14,5,3,,4,,,,,,1,,,,,,76,11,Robbery,,,,,,,
,,,,274,,,,,7,9,6,28,3,,14,,,,,,8,,,,,,112,1,Breakings,,,,,,,
,,,,274,,,,,11,8,3,8,2,,3,,,,,,2,,,,,,127,75,Theft of stock,,,,,,,
,,,,274,,,,,14,17,8,41,14,,18,,,,,,13,,,,,,32,2,Stealing,,,,,,,
