"Map 2: Location of Makueni County in Kenya CCoouunnttyy SSttaattiissttiiccaall AAbbssttrraacctt,, 22002109 xxxxii",col_1,page,Total Cancer Cases,93,139,170,205,252,Type of Crop,2015,2016,2017,2018,2019*,col_0,Practising Agricultural Personel,Sub County,Land Use,Commodity,Input,KSh per 50 Kg bag,col_2,col_3,col_4,col_5,Class of Input,Type of Input,Unit,Type,Quantity,9102,hsK( eulaV )000‘,"000,016,284",Year,Sub-County,Category,2019,National Parks,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sept,Oct,Nov,Dec,Total,Road Class,Surface Type,Mbooni,Kilome,Kaiti,Makueni,Kibwezi West,Kibwezi East,Hotels,Resorts,detcelloC sDI RPN,*9102,"141,2 618,9 390,3 786,2 872,01 313,4 062,4 205,5 073,3","064,54",Type of Institution,*0202/9102,latoT elameF elaM,Funds,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020*,tnempoleveD,-idnepxE erut,"57.246,2",col_6,col_8,2015/16,2016/17,2017/18,2018/19,2019/20*,Economic Activities,2013,2014
,,51,,,,,,,,"25,143,957","27,366,031","28,894,136","29,136,958","28,744,926",,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,"2,900 1,700 2,650 2,200 2,400 3,000","3,250 1,750 2,800 2,350 2,450 3,250","4,200 1,800 2,800 2,600 2,700 3,500 3,400 2,000 1,200 1,400 600","4,250 1,800 2,900 2,600 2,750 3,500 3,400 2,000 1,200 1,500 700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,,,,,,,,,,1 - - 1 - -,1 - - 1 - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,,,,,,,,,,,,,,,,,,,,,,,,,,Kg Kg Kg Kg Kg Kg Kg Kg Kg Kg Kg Kg Piece Piece Kg Piece Kg Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active Dormant Total,58,,,,,,,,,,"17,074 5,105 22,179 53 32,153,957 186,238,438 61,224,328 260,048,967 76,143,641 114,391,975 -","19,038 3,769 22,807 58 33,226,076 206,573,325 68,293,132 253,963,511 72,126,741 104,679,247 -",,,,,,,,,,,,,,,Number Number Number Number Ksh Ksh Ksh Ksh Ksh Ksh Ksh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45 56 82 66 7 14 71 84 114 - 56 - 5,506 6,178 5,169 4,339 2,456 4,536 2,040 10,195 5,736 6,343 4,346 4,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,"5,551","6,234","5,251","4,405","2,463","4,550","2,111","10,279","5,850","6,343","4,402","4,465","61,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bitumen Bitumen/Gravel Bitumen/Gravel Earth Road Earth Road Earth Roads,- 48.5 - - 97.0 63.0 - - 36.1 42.7 34.0 - 171.5 46.8 52.7 71.8 107.3 99.4 -- 66.4 -- 41.5 47.0 55.2 33.3 51.3 53.4 56.2 43.0 42.6 - - - 9.6 - - 201.5 748.4 106.5 898.9 -- 1133.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51 944 257 27 476,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8102,"337,2 731,7 434,2 150,3 968,7 677,2 785,4 467,4 448,2","591,83",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7102,"734,4 837,11 281,4 903,4 519,01 302,5 484,5 435,6 572,8","770,16",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102,"080,3 029,01 463,3 574,2 091,5 325,4 258,3 807,6 257,02","468,06",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5102,"237,2 818,5 832,2 299,2 400,6 948,1 346,2 122,2 749,2","444,92",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decudorP sDI RPN,*9102,"661,2 966,01 850,3 796,3 182,9 191,4 256,3 137,4 761,3","216,44",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8102,"500,2 672,7 184,2 070,3 436,7 381,3 748,2 451,5 278,2","225,63",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7102,"082,3 468,01 981,4 122,4 634,8 851,5 159,4 512,6 738,8","151,65",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102,"405,3 758,01 255,3 707,2 962,5 209,4 453,4 556,6 019,02","017,26",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5102,"061,3 435,2 592,2 684,3 908,5 891,2 271,3 777,1 803,4","937,82",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,srehtO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edam snoitacilppA RPN,*9102,"764 326,2 720,1 851,1 203,5 802,1 098 064,1 580,1 138,2 890,8 764,2 - 765,5 005,3 374,3 403,3 672,3","022,51",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,RPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"688,53",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,srehtO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8102,"518 454,2 146 361,1 307,4 709 106 303,1 183,1 446,2 872,5 454,2 775,2 831,4 814,2 255,2 158,3 807,2","869,31",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,RPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026,82",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,srehtO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7102,"312,1 103,3 164,1 025,1 206,5 763,1 199 640,2 202,2 177,3 581,6 278,2 475,2 949,5 713,3 118,3 695,4 151,4","307,91",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,RPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"622,73",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,srehtO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102,"420,1 056,3 499,1 293,1 249,2 094,1 318 231,2 695,1 297,2 035,6 418,2 443,2 785,5 256,3 770,3 483,6 027,2","330,71",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,RPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"009,53",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,srehtO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5102,"274 258,1 779 001,1 940,2 227 805 342,1 593,1 624,2 643,6 001,2 753,2 556,4 227,2 588,2 747,3 577,3","813,01",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,RPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310,13",,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ytnuoC-buS,,inewznohtaK tsaE tseW izewbiK ugnuliK udnikaM ineukaM inoobM inoobM aakuM iuazN,latoT,,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,4 83 4 1 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,"863,721 951,001 863,721 250,07 880,65 250,07 613,75 170,44 613,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91/8102,latoT elameF elaM,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,"362,95 075,611 253,53 847,07 119,32 228,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81/7102,latoT elameF elaM,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,"797,94 606,99 483,43 767,86 314,51 938,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71/6102,latoT elameF elaM,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,969.67 12.07 220.17 187.35","6,441.35 43.01 219.07 204.81","6,825.20 157.31 322.10 338.43","7,127.80 527.25 511.70 230.94",,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,"6,389.26","6,908.25","7,643.04","8,397.69","8,962.13",,,,,,,,,,,,,
,,67,,,,,,,,,,,,,*0202/9102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devorppA etamitsE,"61.708,4",,,,,,,,,,
